tracer,units,recommended_value,recommended_citation,alternate_value,alternate_citation
temp,degC,15.61593471117917,Global mean river temperature (Beck et al. 2013),,
salt,psu,1,Freshwater assumption,,
PO4,mmol/m3,4.2453,RivR2O mean 2011-2020,,
NO3,mmol/m3,57.3565,RivR2O mean 2011-2020,,
SiO3,mmol/m3,131.2429,RivR2O mean 2011-2020,,
NH4,mmol/m3,0,set to zero for river boundary conditions,,
Fe,mmol/m3,0.07027027,RivR2O mean 2011-2020,,
Lig,mmol/m3,0.210810810810810,RivR2O mean 2011-2020 (3x Fe),,
O2,mmol/m3,270.8750648003977,RivR2O mean 2011-2020,,
DIC,mmol/m3,1640.071,RivR2O mean 2011-2020: raw DIC + DOC_l,,
DIC_ALT_CO2,mmol/m3,1640.071,Same as DIC,,
ALK,meq/m3,1173.693,RivR2O mean 2011-2020: raw DIC only,,
ALK_ALT_CO2,meq/m3,1173.693,Same as ALK,,
DOC,mmol/m3,460.476,RivR2O mean 2011-2020: DOC_sl + recycled POC,,
DON,mmol/m3,31.61635,RivR2O: DOC_sl x (103/2583) + POC x (25/276),,
DOP,mmol/m3,1.0242011,RivR2O: DOC_sl x (1/2583) + POC x (1/276),,
DOPr,mmol/m3,0,set to zero for river boundary conditions,,
DONr,mmol/m3,0,set to zero for river boundary conditions,,
DOCr,mmol/m3,0,set to zero for river boundary conditions,,
zooC,mmol/m3,0,set to zero for river boundary conditions,,
spChl,mg/m3,0,set to zero for river boundary conditions,,
spC,mmol/m3,0,set to zero for river boundary conditions,,
spP,mmol/m3,0,set to zero for river boundary conditions,,
spFe,mmol/m3,0,set to zero for river boundary conditions,,
spCaCO3,mmol/m3,0,set to zero for river boundary conditions,,
diatChl,mg/m3,0,set to zero for river boundary conditions,,
diatC,mmol/m3,0,set to zero for river boundary conditions,,
diatP,mmol/m3,0,set to zero for river boundary conditions,,
diatFe,mmol/m3,0,set to zero for river boundary conditions,,
diatSi,mmol/m3,0,set to zero for river boundary conditions,,
diazChl,mg/m3,0,set to zero for river boundary conditions,,
diazC,mmol/m3,0,set to zero for river boundary conditions,,
diazP,mmol/m3,0,set to zero for river boundary conditions,,
diazFe,mmol/m3,0,set to zero for river boundary conditions,,
